PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,LA,,,,,,,,,
Location:,"LOS ANGELES, CA",,,,,,,,,
Lat (deg N):,33.93,,,,,,,,,
Long (deg W):,118.4,,,,,,,,,
Elev (m):,32,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.13,,,,,,,,,
Capacity Factor (%),"18.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,12,20,0,0,14.4,4.6,0,14.4,0.00,0
1,12,21,0,0,13.9,4.1,0,13.9,0.00,0
1,12,22,0,0,12.8,3.6,0,12.8,0.00,0
1,12,23,0,0,13.3,3.1,0,13.3,0.00,0
1,13,0,0,0,12.2,2.1,0,12.2,0.00,0
1,13,1,0,0,9.4,3.6,0,9.4,0.00,0
1,13,2,0,0,11.7,2.6,0,11.7,0.00,0
1,13,3,0,0,10.6,2.6,0,10.6,0.00,0
1,13,4,0,0,10,2.1,0,10,0.00,0
1,13,5,0,0,10,2.6,0,10,0.00,0
1,13,6,0,0,12.2,4.1,0,12.2,0.00,0
1,13,7,135,29,11.7,3.1,78.217,12.078,64.15,57.358
1,13,8,444,79,14.4,3.1,302.766,20.19,253.57,242.347
1,13,9,628,107,17.2,2.6,530.135,29.556,438.47,421.743
1,13,10,795,101,18.9,2.6,722.629,36.458,583.80,561.924
1,13,11,823,109,20.6,4.1,805.907,37.838,648.81,624.399
1,13,12,827,109,21.1,3.6,811.128,39.381,648.03,623.655
1,13,13,791,101,21.7,2.6,725.208,39.968,575.92,554.344
1,13,14,711,86,19.4,3.1,566.253,32.91,460.84,443.368
1,13,15,550,64,17.2,4.6,345.188,23.93,283.75,271.709
1,13,16,136,30,15.6,2.6,80.546,16.881,64.94,58.13
1,13,17,0,0,13.3,4.1,0,13.3,0.00,0
1,13,18,0,0,12.8,3.1,0,12.8,0.00,0
1,13,19,0,0,12.2,3.1,0,12.2,0.00,0
1,13,20,0,0,12.8,2.1,0,12.8,0.00,0
1,13,21,0,0,12.2,1.5,0,12.2,0.00,0
1,13,22,0,0,13.9,2.1,0,13.9,0.00,0
1,13,23,0,0,12.2,1.5,0,12.2,0.00,0
1,14,0,0,0,11.1,2.1,0,11.1,0.00,0
1,14,1,0,0,10.6,3.1,0,10.6,0.00,0
1,14,2,0,0,12.2,4.1,0,12.2,0.00,0
1,14,3,0,0,10.6,3.6,0,10.6,0.00,0
1,14,4,0,0,11.1,3.1,0,11.1,0.00,0
1,14,5,0,0,10.6,2.1,0,10.6,0.00,0
1,14,6,0,0,12.2,3.6,0,12.2,0.00,0
1,14,7,302,25,15.6,4.1,118.064,16.674,89.70,82.386
1,14,8,669,47,17.2,3.6,370.26,24.345,300.65,288.136
1,14,9,818,65,20.6,3.6,599.069,33.369,485.14,466.842
1,14,10,787,95,21.7,4.1,710.726,36.702,573.49,552.008
1,14,11,699,173,23.9,2.1,781.665,44.414,608.91,586.075
1,14,12,256,202,21.7,5.2,440.355,30.122,368.83,354.313
1,14,13,518,140,20.6,4.6,563.278,31.572,466.85,449.177
1,14,14,663,122,21.1,3.6,577.295,33.801,468.58,450.849
1,14,15,334,77,18.9,3.6,255.552,24.503,211.53,201.4
1,14,16,134,45,15.6,4.1,94.935,16.706,77.98,70.907
1,14,17,1,1,14.4,3.6,1.132,13.018,0.97,0
1,14,18,0,0,15,2.6,0,15,0.00,0
1,14,19,0,0,13.9,4.1,0,13.9,0.00,0
1,14,20,0,0,15,3.1,0,15,0.00,0
1,14,21,0,0,13.9,4.1,0,13.9,0.00,0
1,14,22,0,0,13.9,1.5,0,13.9,0.00,0
1,14,23,0,0,11.1,2.1,0,11.1,0.00,0
1,15,0,0,0,11.7,2.1,0,11.7,0.00,0
1,15,1,0,0,11.1,2.6,0,11.1,0.00,0
1,15,2,0,0,10.6,2.1,0,10.6,0.00,0
1,15,3,0,0,11.1,0,0,11.1,0.00,0
1,15,4,0,0,11.1,1.5,0,11.1,0.00,0
1,15,5,0,0,11.7,2.1,0,11.7,0.00,0
1,15,6,0,0,11.1,2.1,0,11.1,0.00,0
1,15,7,8,32,11.7,2.1,34.429,10.613,31.18,25.037
